pupID #unique identifer for each mouse,litter #unique litter,sex,outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,vhr.post.challenge #hours post challenge at observation time,score #score at time of observation,time #day and time of first observation,weight #weight at  observation,v1.ch.weight # absolute weight change from challenge to v1,.pch.weight #percent weight change from challenge to current observation
2015.08.20_G1_M4 (F)_saline.vacc_old.0.95,6,F,live,2015.08.28 18:25,4.54,18.08333333,4,2015.08.29 12:30,,,
2015.08.29_F1_M5 (M)_Sauton_old.0.95,7,M,die,2015.09.05 20:00,3.73,16.25,4,2015.09.06 12:15,,,
2015.08.29_F1_M6 (F)_Sauton_old.0.95,7,F,die,2015.09.05 20:00,3.8,16.25,2,2015.09.06 12:15,,,
2015.08.29_F2_M4 (M)_Sauton_NA,8,M,die,2015.09.04 20:00,5.69,15.33333333,6,2015.09.06 11:20,,,
2015.08.29_F1_M7 (F)_Sauton_old.0.95,9,F,live,2015.09.05 20:00,3.54,16.25,3,2015.09.06 12:15,,,
2015.09.05_G2_M1 (F)_Sauton_old.0.95,10,F,die,2015.09.13 20:10,4.9,20,4,2015.09.14 16:10,,,
2015.09.05_G2_M2 (M)_Sauton_old.0.95,10,M,die,2015.09.13 20:10,5.2,20,6,2015.09.14 16:10,,,
2015.09.05_G2_M3 (F)_Sauton_old.0.95,10,F,die,2015.09.13 20:10,5.12,20,5,2015.09.14 16:10,,,
2015.09.05_G2_M4 (M)_Sauton_old.0.95,10,M,die,2015.09.13 20:10,4.68,20,6,2015.09.14 16:10,,,
2015.09.07_G3_M1 (M)_Sauton_old.0.95,11,M,die,2015.09.14 17:15,5.01,19.88333333,3,2015.09.15 13:08,,,
2015.09.07_G3_M2 (F)_Sauton_old.0.95,11,F,die,2015.09.14 17:15,5.67,19.88333333,2,2015.09.15 13:08,,,
2015.09.07_G3_M3 (M)_Sauton_old.0.95,11,M,die,2015.09.14 17:15,5.56,19.88333333,6,2015.09.15 13:08,,,
2015.09.07_G3_M4 (F)_Sauton_old.0.95,11,F,die,2015.09.14 17:15,5.49,NA,NA,,,,
2015.10.10_G4_M1 (F)_saline_new.0.85,12,F,live,2015.10.17 18:55,4.09,18.33333333,4,2015.10.18 13:15,3.98,0.11,2.689486553
2015.10.10_G4_M3 (F)_saline_new.0.85,12,F,die,2015.10.17 18:55,3.46,18.33333333,2,2015.10.18 13:15,3.31,0.15,4.335260116
2015.10.10_G4_M4 (M)_saline_new.0.85,12,M,die,2015.10.17 18:55,3.98,18.33333333,3,2015.10.18 13:15,3.81,0.17,4.271356784
2015.10.10_G4_M5 (M)_saline_new.0.95,12,M,live,2015.10.17 18:55,4.11,18.33333333,3,2015.10.18 13:15,3.99,0.12,2.919708029
2015.10.10_G4_M6 (F)_saline_new.0.95,12,F,live,2015.10.17 18:55,3.49,18.33333333,6,2015.10.18 13:15,3.35,0.14,4.011461318
2015.10.10_G4_M7 (M)_saline_new.0.95,12,M,live,2015.10.17 18:55,3.93,18.33333333,6,2015.10.18 13:15,3.77,0.16,4.071246819
2015.10.10_G5_M1 (F)_saline_new.0.85,13,F,live,2015.10.17 19:20,3.77,18.16666667,4,2015.10.18 13:30,3.66,0.11,2.917771883
2015.10.10_G5_M2 (M)_saline_new.0.85,13,M,live,2015.10.17 19:20,4.2,18.16666667,8,2015.10.18 13:30,4.24,-0.04,-0.952380952
2015.10.10_G5_M3 (F)_saline_new.0.85,13,F,live,2015.10.17 19:20,3.83,18.16666667,2,2015.10.18 13:30,3.66,0.17,4.438642298
2015.10.10_G5_M4 (M)_saline_new.0.85,13,M,live,2015.10.17 19:20,3.76,18.16666667,5,2015.10.18 13:30,3.63,0.13,3.457446809
2015.10.10_G5_M5 (F)_saline_new.0.85,13,F,live,2015.10.17 19:20,3.3,18.16666667,5,2015.10.18 13:30,3.19,0.11,3.333333333
2015.10.10_G5_M6 (F)_saline_new.0.95,13,F,die,2015.10.17 19:20,3.78,18.16666667,2,2015.10.18 13:30,3.65,0.13,3.439153439
2015.10.10_G5_M7 (F)_saline_new.0.95,13,F,die,2015.10.17 19:20,3.57,18.16666667,0,2015.10.18 13:30,3.51,0.06,1.680672269
2015.10.10_G5_M8 (M)_saline_new.0.95,13,M,live,2015.10.17 19:20,3.8,18.16666667,4,2015.10.18 13:30,3.65,0.15,3.947368421
2015.10.10_G5_M9 (F)_saline_new.0.95,13,F,live,2015.10.17 19:20,3.38,18.16666667,5,2015.10.18 13:30,3.56,-0.18,-5.325443787
2015.10.11_G7_M3 (F)_Sauton_old.0.95,14,F,live,2015.10.18 18:25,5.93,18.41666667,7,2015.10.19 12:50,5.56,0.37,6.239460371
2015.10.12_G8_M1 (M)_saline_new.1.0,15,M,die,2015.10.19 18:35,4.16,18.41666667,6,2015.10.20 13:00,4.08,0.08,1.923076923
2015.10.12_G8_M2 (M)_saline_new.1.0,15,M,die,2015.10.19 18:35,4.75,18.41666667,6,2015.10.20 13:00,4.44,0.31,6.526315789
